zip,Tot_Srvcs,Tot_Benes,Avg_Mdcr_Alowd_Amt,age_65_plus,median_income,population,pct_bachelors_plus
89511,1593686.6,249205,144.25163808170763,6144.0,114653.0,29038.0,0.3793803274252469
89512,92430.7,27744,119.03304027485851,3772.0,45286.0,28055.0,0.5207210242587601
89519,83061.0,10294,77.27975367932292,2168.0,150646.0,9313.0,0.2913704168409313
89521,382757.0,107326,157.2722417346698,6163.0,116246.0,38484.0,0.3927220651415562
89523,61811.0,24227,89.55481061462042,6269.0,94915.0,36538.0,0.4093276065224828
89557,20918.0,9737,113.30174967881916,0.0,-666666666.0,546.0,0.0
89701,70013.1,30895,124.93016256805738,4391.0,67580.0,29258.0,0.5512566935211539
89703,301002.0,146095,122.77919238512625,2816.0,83295.0,10627.0,0.4085816448152563
89704,38.0,38,82.81187479266667,1396.0,102321.0,4644.0,0.5756778099499869
89705,104309.0,35865,146.764398746798,1121.0,77826.0,5219.0,0.5230961298377028
89706,129367.0,69565,59.55502160885356,3299.0,59636.0,20089.0,0.5774886877828054
89801,112474.7,38486,119.28348463475226,3108.0,87718.0,26023.0,0.605414031562149
89815,17591.0,3231,56.53283096299629,1865.0,106915.0,15771.0,0.6159241331621061
89820,1558.8,325,144.27427770206666,664.0,100000.0,5570.0,0.5911796536796536
89822,4734.0,623,105.19259622966666,324.0,68478.0,2296.0,0.7226832641770401
89828,1360.0,79,20.38533712025,68.0,-666666666.0,277.0,0.4928571428571429
89832,156.0,111,62.21697037933334,107.0,47361.0,1253.0,0.5793357933579336
89883,11363.0,1025,101.66875438161,189.0,80339.0,4644.0,0.7253306205493387
90001,2826.0,2008,82.76719327772902,3935.0,57698.0,57652.0,0.3744377592149074
90002,393.0,383,81.97663322488887,3962.0,54221.0,53108.0,0.41470626044478726
90003,8513.0,6329,39.01286877427005,4704.0,51275.0,75024.0,0.4168083835087558
90004,103865.0,42064,141.41006906865712,6264.0,58420.0,58833.0,0.3394486714546446
