zip,Tot_Srvcs,Tot_Benes,Avg_Mdcr_Alowd_Amt,age_65_plus,median_income,population,pct_bachelors_plus,cluster,sub_cluster,avg_services,avg_benes,avg_cost,cost_zscore,is_outlier,explanation
12546,5097.0,4328,84.33937186292857,603.0,79157.0,2700.0,0.4248138957816377,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.1558839541105663,False,Normal
12548,3635.0,2940,89.13149912861905,147.0,80521.0,1074.0,0.4252336448598131,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.11661881024653721,False,Normal
12549,28519.0,8345,51.24051873398,1531.0,112850.0,10635.0,0.4837255178244328,1.0,1_1,20495.80140403931,6233.69381142672,103.36427979052264,-0.42708527197775265,False,Normal
12550,750760.3,189536,85.80567441813571,7388.0,73148.0,55404.0,0.4930645802943906,2.0,2_0,411953.7785202864,119907.65298329356,102.61456718389444,-0.47809209758593124,False,Normal
12553,217235.9,99920,97.0436472120797,3759.0,96088.0,27409.0,0.4511120661867411,4.0,4_1,210991.9873828224,60342.91411198379,95.59890116521127,0.032023661740012394,False,Normal
12561,68984.6,22178,78.98332323079246,2741.0,85539.0,18136.0,0.357964812173086,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,-0.27721546145219955,False,Normal
12563,9488.4,1264,186.086367462775,987.0,95088.0,7691.0,0.5507920110192838,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,0.6777980827927382,False,Normal
12564,47656.0,20045,56.38545067738344,1257.0,113026.0,7700.0,0.4349177330895795,1.0,1_1,20495.80140403931,6233.69381142672,103.36427979052264,-0.3849293604737482,False,Normal
12566,18408.7,3244,79.46782365751586,1689.0,99679.0,12407.0,0.5404769902586496,1.0,1_1,20495.80140403931,6233.69381142672,103.36427979052264,-0.19579984751673224,False,Normal
12567,7508.0,2026,59.886001232781815,629.0,93571.0,2347.0,0.4321120689655172,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.3562469792387791,False,Normal
12569,4750.0,2564,89.8923345787,1431.0,105037.0,9603.0,0.4827948910593538,1.0,1_1,20495.80140403931,6233.69381142672,103.36427979052264,-0.11038477017456988,False,Normal
12570,1047.0,967,69.01612083053332,1069.0,118552.0,6923.0,0.4034408602150537,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,-0.40827654650360784,False,Normal
12571,6435.0,3931,83.18398395615218,1536.0,112414.0,9235.0,0.317293003360831,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,-0.22197998709440325,False,Normal
12572,148744.3,49230,107.59686471211836,2463.0,96163.0,9287.0,0.3490714098875229,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,0.09903071506856133,False,Normal
12575,54.0,52,131.315,172.0,142104.0,1584.0,0.4666056724611161,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,0.22901917859859253,False,Normal
12577,8480.0,328,66.60151907375,143.0,146731.0,1552.0,0.4420289855072464,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.30122219389241667,False,Normal
12578,3042.0,2224,81.24003664797307,466.0,97386.0,2125.0,0.5231129315389117,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.18127890636264188,False,Normal
12580,4701.0,298,40.7693996316,950.0,110500.0,4556.0,0.3552593451173573,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,-0.7796993169873864,False,Normal
12581,1747.0,1700,65.36333333333333,403.0,86184.0,2041.0,0.4065359477124183,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.3113674881495058,False,Normal
12582,491.0,204,76.38178155666667,618.0,128720.0,6168.0,0.4083574679354572,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,-0.31142374386939214,False,Normal
12583,136.0,62,128.33744449866666,299.0,79583.0,1832.0,0.3934426229508196,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,0.3717534693842209,False,Normal
12585,76.0,12,115.80776316,212.0,91058.0,842.0,0.3803418803418803,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,0.20699774700104343,False,Normal
12586,18652.3,5443,86.99495024772592,1455.0,83125.0,12802.0,0.4730250481695568,1.0,1_1,20495.80140403931,6233.69381142672,103.36427979052264,-0.13412500207525346,False,Normal
12589,19041.8,2241,55.44811493920625,2080.0,112862.0,19584.0,0.5899060215802298,1.0,1_1,20495.80140403931,6233.69381142672,103.36427979052264,-0.39260958693015474,False,Normal
12590,196517.0,37244,73.78504412438927,6438.0,102212.0,36816.0,0.44397622906537,2.0,2_1,411953.7785202864,119907.65298329356,102.61456718389444,-0.8199925684574767,False,Normal
12592,187.0,154,109.78668082999998,156.0,67857.0,1429.0,0.5809935205183585,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,0.0526230808962525,False,Normal
12601,1423287.9,543729,103.39617322416451,6169.0,59652.0,43623.0,0.4824811925327389,2.0,2_0,411953.7785202864,119907.65298329356,102.61456718389444,0.02223106997504173,False,Normal
12603,290802.4,90189,154.20229865534225,6427.0,100761.0,42215.0,0.3827355143870713,2.0,2_1,411953.7785202864,119907.65298329356,102.61456718389444,1.4672999044366837,False,Normal
12604,490.0,406,76.6866790701,0.0,-666666666.0,1978.0,0.7111111111111111,3.0,3_0,53172.544444444444,24913.830555555556,107.4112925807272,-0.18985898894728181,False,Normal
12701,124865.0,53087,85.21132262295383,2130.0,52244.0,12448.0,0.4673563218390804,1.0,1_1,20495.80140403931,6233.69381142672,103.36427979052264,-0.14873947105815136,False,Normal
12723,8745.0,4482,69.71875656552045,323.0,77417.0,1776.0,0.3671232876712328,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,-0.3990374242178085,False,Normal
12726,500.0,93,44.3639495954,446.0,70798.0,1357.0,0.5170777988614801,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.48342965966762785,False,Normal
12732,878.6,73,243.5532272985,177.0,45909.0,830.0,0.6083445491251682,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,1.148662981356448,False,Normal
12733,1480.3,237,348.50836114016664,71.0,32679.0,1996.0,0.5034013605442177,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,2.008631467391152,True,High cost vs cluster
12734,29269.0,10711,61.79868154769914,147.0,51766.0,1016.0,0.677027027027027,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.34057509417244963,False,Normal
12737,2596.1,159,110.9210466518,163.0,99219.0,1625.0,0.4110787172011662,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,0.06191770825440082,False,Normal
12741,550.7,63,243.32162316,46.0,43281.0,168.0,0.7581699346405228,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,1.1467652918099256,False,Normal
12742,17104.0,10707,104.38289637728592,16.0,103611.0,194.0,0.6,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,0.008346215491374945,False,Normal
12748,2773.3,710,167.4666960842,410.0,78351.0,1751.0,0.503258508327299,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,0.5252345061500487,False,Normal
12752,260.2,27,243.5601665315,51.0,-666666666.0,302.0,0.5780141843971631,3.0,3_0,53172.544444444444,24913.830555555556,107.4112925807272,0.8413153039553711,False,Normal
12754,14086.0,3378,68.39123593992642,774.0,50081.0,7800.0,0.5811789038262668,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.2865578316311254,False,Normal
12764,1003.7,102,329.411215444,337.0,56828.0,1713.0,0.4149709302325581,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,1.8521556203240428,False,Normal
12771,41592.1,15263,81.27308649020252,2240.0,59141.0,14454.0,0.592467505884761,1.0,1_1,20495.80140403931,6233.69381142672,103.36427979052264,-0.18100810662426398,False,Normal
12775,85615.1,48279,68.24951467361404,664.0,109010.0,2474.0,0.3118279569892473,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,-0.41835683089015935,False,Normal
12776,1543.7,108,167.069555996,563.0,71905.0,2072.0,0.4583072100313479,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,0.5219804684684973,False,Normal
12779,1039.0,427,85.14243680002222,380.0,-666666666.0,2304.0,0.3473684210526316,3.0,3_0,53172.544444444444,24913.830555555556,107.4112925807272,-0.13760766891583825,False,Normal
12783,14.0,14,32.183571429,429.0,78125.0,1409.0,0.5427995971802618,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.5832317464039581,False,Normal
12786,1333.7,190,241.730262141,312.0,78750.0,568.0,0.3496932515337423,0.0,0_0,188876.44943783068,58011.8287037037,100.06557363098949,1.8627822576482471,False,Normal
12788,1580.0,682,93.56280611955556,296.0,72875.0,2841.0,0.4415471534115602,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.0803101112371153,False,Normal
12790,6868.2,1709,61.288057156361766,927.0,77216.0,4226.0,0.5285581969743748,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.3447589855999356,False,Normal
12801,193878.3,109009,81.68495636951364,1963.0,64665.0,14754.0,0.4660589604344453,1.0,1_1,20495.80140403931,6233.69381142672,103.36427979052264,-0.17763337778928562,False,Normal
12803,319.0,225,98.2377418742857,1493.0,84074.0,8828.0,0.5100603621730382,1.0,1_1,20495.80140403931,6233.69381142672,103.36427979052264,-0.0420051967831951,False,Normal
12804,286211.0,68964,72.80346438707741,5491.0,87589.0,27805.0,0.4308627788949535,4.0,4_1,210991.9873828224,60342.91411198379,95.59890116521127,-0.5052745139404248,False,Normal
12809,7623.6,1459,93.347097881592,691.0,63750.0,3612.0,0.6046337817638266,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.08207755490601269,False,Normal
12814,1715.3,467,107.8255044580875,322.0,97321.0,1135.0,0.5801980198019802,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,0.03655383479396167,False,Normal
12816,16654.2,3852,89.24912677778867,914.0,70260.0,4626.0,0.4951367781155015,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,-0.11565500726073166,False,Normal
12817,3744.2,746,128.480956219,602.0,72813.0,1951.0,0.4416666666666666,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,0.20579793871737503,False,Normal
12822,4871.4,1642,113.29966492617272,1186.0,75000.0,6200.0,0.5804211987965748,1.0,1_0,20495.80140403931,6233.69381142672,103.36427979052264,0.0814073385506439,False,Normal
